Customer_ID,Segment,Product_ID,Discount_Percentage,Recommendation,Generated_Date
CUST_001,Risk Customers,SKU_020,10,Personalized recommendations,2026-01-18
CUST_002,New Customers,SKU_029,10,Personalized recommendations,2026-01-18
CUST_003,Champions,SKU_004,20,Premium products with VIP discount,2026-01-18
CUST_004,Risk Customers,SKU_015,10,Personalized recommendations,2026-01-18
CUST_005,Risk Customers,SKU_037,10,Personalized recommendations,2026-01-18
CUST_006,Risk Customers,SKU_005,10,Personalized recommendations,2026-01-18
CUST_007,Risk Customers,SKU_046,10,Personalized recommendations,2026-01-18
CUST_008,New Customers,SKU_025,10,Personalized recommendations,2026-01-18
CUST_009,New Customers,SKU_036,10,Personalized recommendations,2026-01-18
CUST_011,Risk Customers,SKU_038,10,Personalized recommendations,2026-01-18
CUST_012,New Customers,SKU_041,10,Personalized recommendations,2026-01-18
CUST_013,Risk Customers,SKU_018,10,Personalized recommendations,2026-01-18
CUST_014,Risk Customers,SKU_038,10,Personalized recommendations,2026-01-18
CUST_015,Risk Customers,SKU_016,10,Personalized recommendations,2026-01-18
CUST_019,Risk Customers,SKU_005,10,Personalized recommendations,2026-01-18
CUST_020,Loyal Customers,SKU_036,10,Continue with preferred categories,2026-01-18
CUST_021,Risk Customers,SKU_013,10,Personalized recommendations,2026-01-18
CUST_022,Risk Customers,SKU_024,10,Personalized recommendations,2026-01-18
CUST_024,Risk Customers,SKU_050,10,Personalized recommendations,2026-01-18
CUST_025,Loyal Customers,SKU_005,10,Continue with preferred categories,2026-01-18
